COLLISION_ID,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED
4051863,0,0,0,0,0,0,0,0
3535086,1,0,0,0,0,0,1,0
1005414,0,0,0,0,0,0,0,0
3532097,0,0,0,0,0,0,0,0
3533718,0,0,0,0,0,0,0,0
4048614,0,0,0,0,0,0,0,0
1015599,1,0,0,0,0,0,1,0
3525321,0,0,0,0,0,0,0,0
3530261,1,0,0,0,0,0,1,0
4040919,0,0,0,0,0,0,0,0
1006810,0,0,0,0,0,0,0,0
1007746,0,0,0,0,0,0,0,0
4060636,0,0,0,0,0,0,0,0
3534586,1,0,0,0,0,0,1,0
3533833,0,0,0,0,0,0,0,0
3526713,0,0,0,0,0,0,0,0
3533953,0,0,0,0,0,0,0,0
4045803,0,0,0,0,0,0,0,0
3528590,0,0,0,0,0,0,0,0
1004026,0,0,0,0,0,0,0,0
4044923,0,0,0,0,0,0,0,0
3521311,0,0,0,0,0,0,0,0
4042268,0,0,0,0,0,0,0,0
2992639,0,0,0,0,0,0,0,0
4486604,0,0,0,0,0,0,0,0
3527987,0,0,0,0,0,0,0,0
4407665,0,0,0,0,0,0,0,0
4522015,0,0,0,0,0,0,0,0
4522124,1,0,0,0,0,0,0,0
4522156,0,0,0,0,0,0,0,0
4513470,0,0,0,0,0,0,0,0
3530721,0,0,0,0,0,0,0,0
1003448,0,0,0,0,0,0,0,0
1007318,2,0,0,0,0,0,2,0
4043755,1,0,0,0,0,0,1,0
3523484,0,0,0,0,0,0,0,0
4048665,1,0,0,0,0,0,1,0
4046434,0,0,0,0,0,0,0,0
3522619,0,0,0,0,0,0,0,0
3529779,0,0,0,0,0,0,0,0
3533425,0,0,0,0,0,0,0,0
4487122,1,0,0,0,0,0,1,0
3537219,0,0,0,0,0,0,0,0
1015334,0,0,0,0,0,0,0,0
1013105,0,0,0,0,0,0,0,0
4521590,1,0,0,0,0,0,1,0
1009242,0,0,0,0,0,0,0,0
3535210,0,0,0,0,0,0,0,0
1007026,0,0,0,0,0,0,0,0
3525908,0,0,0,0,0,0,0,0
1016804,1,0,0,0,0,0,1,0
1011194,1,0,1,0,0,0,0,0
4053770,0,0,0,0,0,0,0,0
3529233,0,0,0,0,0,0,0,0
4041092,0,0,0,0,0,0,0,0
3521785,0,0,0,0,0,0,0,0
4047469,0,0,0,0,0,0,0,0
4046472,0,0,0,0,0,0,0,0
4514263,0,0,0,0,0,0,0,0
3531895,0,0,0,0,0,0,0,0
4045529,0,0,0,0,0,0,0,0
3535884,1,0,0,0,1,0,0,0
4048768,0,0,0,0,0,0,0,0
3522907,0,0,0,0,0,0,0,0
4046123,1,0,0,0,0,0,1,0
2881500,0,0,0,0,0,0,0,0
4486516,1,0,1,0,0,0,0,0
1009651,0,0,0,0,0,0,0,0
4456659,0,1,0,1,0,0,0,0
4050032,1,0,0,0,0,0,1,0
4055829,0,0,0,0,0,0,0,0
3532250,0,0,0,0,0,0,0,0
4486304,1,0,1,0,0,0,0,0
1006850,2,0,0,0,0,0,2,0
4485706,0,0,0,0,0,0,0,0
